Gene	p value	Name
CCDC178	>0.1	coiled-coil domain containing 178
CA9	>0.1	carbonic anhydrase 9
PPIEL	>0.1	peptidylprolyl isomerase E like pseudogene
NOP14	>0.1	NOP14 nucleolar protein
PABPC5	>0.1	poly(A) binding protein cytoplasmic 5
RORC	>0.1	RAR related orphan receptor C
TAAR1	>0.1	trace amine associated receptor 1
PAM	>0.1	peptidylglycine alpha-amidating monooxygenase
TMEM260	>0.1	transmembrane protein 260
FAF2	>0.1	Fas associated factor family member 2
PIGM	>0.1	phosphatidylinositol glycan anchor biosynthesis class M
GPX1	>0.1	glutathione peroxidase 1
EFCAB6	>0.1	EF-hand calcium binding domain 6
FKBP4	>0.1	FKBP prolyl isomerase 4
FOLH1B	>0.1	folate hydrolase 1B (pseudogene)
GTF2IRD2	>0.1	GTF2I repeat domain containing 2
PRPS1	>0.1	phosphoribosyl pyrophosphate synthetase 1
HAS3	>0.1	hyaluronan synthase 3
TTC8	>0.1	tetratricopeptide repeat domain 8
UNC45B	>0.1	unc-45 myosin chaperone B
ADRM1	>0.1	ADRM1 26S proteasome ubiquitin receptor
EFEMP1	>0.1	EGF containing fibulin extracellular matrix protein 1
SVEP1	>0.1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
MGLL	>0.1	monoglyceride lipase
POLR2E	>0.1	RNA polymerase II, I and III subunit E
IL17RC	>0.1	interleukin 17 receptor C
DONSON	>0.1	DNA replication fork stabilization factor DONSON
OR13C3	>0.1	olfactory receptor family 13 subfamily C member 3
TTC36	>0.1	tetratricopeptide repeat domain 36
ZSCAN10	>0.1	zinc finger and SCAN domain containing 10
DKFZP434H168	>0.1	
ZNF582	>0.1	zinc finger protein 582
RPS2P32	>0.1	ribosomal protein S2 pseudogene 32
PPARGC1B	>0.1	PPARG coactivator 1 beta
ZNF610	>0.1	zinc finger protein 610
TBX1	>0.1	T-box transcription factor 1
OR2AK2	>0.1	olfactory receptor family 2 subfamily AK member 2
SCNM1	>0.1	sodium channel modifier 1
C11orf86	>0.1	chromosome 11 open reading frame 86
GTSF1	>0.1	gametocyte specific factor 1
SRSF10	>0.1	serine and arginine rich splicing factor 10
LOC100130539	>0.1	
GFPT2	>0.1	glutamine-fructose-6-phosphate transaminase 2
LOC400794	>0.1	
ALS2CL	>0.1	ALS2 C-terminal like
IFI27	>0.1	interferon alpha inducible protein 27
CEP128	>0.1	centrosomal protein 128
FBXO41	>0.1	F-box protein 41
MT2A	>0.1	metallothionein 2A
MYLK3	>0.1	myosin light chain kinase 3
EPHA1-AS1	>0.1	EPHA1 antisense RNA 1
GXYLT2	>0.1	glucoside xylosyltransferase 2
MICU3	>0.1	mitochondrial calcium uptake family member 3
HSPBAP1	>0.1	HSPB1 associated protein 1
GP1BB	>0.1	glycoprotein Ib platelet subunit beta
CYP8B1	>0.1	cytochrome P450 family 8 subfamily B member 1
C6orf226	>0.1	chromosome 6 open reading frame 226
LINC00282	>0.1	transmembrane protein 272
PON3	>0.1	paraoxonase 3
TNIP3	>0.1	TNFAIP3 interacting protein 3
TRIM63	>0.1	tripartite motif containing 63
ZNF397	>0.1	zinc finger protein 397
NXNL1	>0.1	nucleoredoxin like 1
NUDT13	>0.1	nudix hydrolase 13
SNHG15	>0.1	small nucleolar RNA host gene 15
MYCT1	>0.1	MYC target 1
DENND5B	>0.1	DENN domain containing 5B
TARP	>0.1	TCR gamma alternate reading frame protein(TARP)
MARK3	>0.1	microtubule affinity regulating kinase 3
NANOG	>0.1	Nanog homeobox
NDUFAF4P1	>0.1	NADH:ubiquinone oxidoreductase complex assembly factor 4 pseudogene 1
MBLAC1	>0.1	metallo-beta-lactamase domain containing 1
SLC6A1	>0.1	solute carrier family 6 member 1
SOX3	>0.1	SRY-box transcription factor 3
RILPL1	>0.1	Rab interacting lysosomal protein like 1
OR13D1	>0.1	olfactory receptor family 13 subfamily D member 1
MCTS1	>0.1	MCTS1 re-initiation and release factor
STAT2	>0.1	signal transducer and activator of transcription 2
ACOT8	>0.1	acyl-CoA thioesterase 8
SEC14L2	>0.1	SEC14 like lipid binding 2
EGR3	>0.1	early growth response 3
SEPW1	>0.1	selenoprotein W
SMCR8	>0.1	SMCR8-C9orf72 complex subunit
NCAPD3	>0.1	non-SMC condensin II complex subunit D3
ZBTB18	>0.1	zinc finger and BTB domain containing 18
OR5A2	>0.1	olfactory receptor family 5 subfamily A member 2
CSNK1E	>0.1	casein kinase 1 epsilon
SDC4P	>0.1	syndecan 4 pseudogene
ADH4	>0.1	alcohol dehydrogenase 4 (class II), pi polypeptide
NOP9	>0.1	NOP9 nucleolar protein
RBP2	>0.1	retinol binding protein 2
TAS2R43	>0.1	taste 2 receptor member 43
SMIM22	>0.1	small integral membrane protein 22
NDC1	>0.1	NDC1 transmembrane nucleoporin
ARL2BP	>0.1	ADP ribosylation factor like GTPase 2 binding protein
NMNAT1	>0.1	nicotinamide nucleotide adenylyltransferase 1
ABTB2	>0.1	ankyrin repeat and BTB domain containing 2
ANO6	>0.1	anoctamin 6
DGCR9	>0.1	DiGeorge syndrome critical region gene 5
LINC00235	>0.1	long intergenic non-protein coding RNA 235
ST3GAL2	>0.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
FGL1	>0.1	fibrinogen like 1
TBPL1	>0.1	TATA-box binding protein like 1
PAPD5	>0.1	terminal nucleotidyltransferase 4B
TMEM191B	>0.1	transmembrane protein 191B
LPHN3	>0.1	adhesion G protein-coupled receptor L3
TRIB2	>0.1	tribbles pseudokinase 2
CREM	>0.1	cAMP responsive element modulator
MAB21L1	>0.1	mab-21 like 1
MOS	>0.1	MOS proto-oncogene, serine/threonine kinase
DLL1	>0.1	delta like canonical Notch ligand 1
APOE	>0.1	apolipoprotein E
PLIN5	>0.1	perilipin 5
NKD1	>0.1	NKD inhibitor of WNT signaling pathway 1
PDE2A	>0.1	phosphodiesterase 2A
RNU4ATAC	>0.1	RNA, U4atac small nuclear
GSPT2	>0.1	G1 to S phase transition 2
IFT88	>0.1	intraflagellar transport 88
FAM199X	>0.1	family with sequence similarity 199, X-linked
ICAM1	>0.1	intercellular adhesion molecule 1
CHIC1	>0.1	cysteine rich hydrophobic domain 1
WHSC1L1	>0.1	nuclear receptor binding SET domain protein 3
PLEKHM3	>0.1	pleckstrin homology domain containing M3
MSTO1	>0.1	misato mitochondrial distribution and morphology regulator 1
TMEM151A	>0.1	transmembrane protein 151A
CCDC176	>0.1	basal body orientation factor 1
CHST6	>0.1	carbohydrate sulfotransferase 6
ZBTB38	>0.1	zinc finger and BTB domain containing 38
C16orf90	>0.1	chromosome 16 open reading frame 90
CD3G	>0.1	CD3 gamma subunit of T-cell receptor complex
IL20RA	>0.1	interleukin 20 receptor subunit alpha
CD14	>0.1	CD14 molecule
RFX5	>0.1	regulatory factor X5
MCOLN2	>0.1	mucolipin TRP cation channel 2
HERC4	>0.1	HECT and RLD domain containing E3 ubiquitin protein ligase 4
FLJ25758	>0.1	microtubule affinity regulating kinase 1 pseudogene(FLJ25758)
BRWD3	>0.1	bromodomain and WD repeat domain containing 3
NDUFV1	>0.1	NADH:ubiquinone oxidoreductase core subunit V1
KNSTRN	>0.1	kinetochore localized astrin (SPAG5) binding protein
MTMR1	>0.1	myotubularin related protein 1
C16orf89	>0.1	chromosome 16 open reading frame 89
EIF5	>0.1	eukaryotic translation initiation factor 5
POU6F2	>0.1	POU class 6 homeobox 2
FUBP1	>0.1	far upstream element binding protein 1
TYMSOS	>0.1	TYMS opposite strand RNA
PRR35	>0.1	proline rich 35
BMI1	>0.1	BMI1 proto-oncogene, polycomb ring finger
IL32	>0.1	interleukin 32
ATP1B1	>0.1	ATPase Na+/K+ transporting subunit beta 1
RAD21L1	>0.1	RAD21 cohesin complex component like 1
PDE1B	>0.1	phosphodiesterase 1B
WFDC10A	>0.1	WAP four-disulfide core domain 10A
C1orf110	>0.1	coiled-coil domain containing 190
RXFP2	>0.1	relaxin family peptide receptor 2
TRIM15	>0.1	tripartite motif containing 15
ZFP36L2	>0.1	ZFP36 ring finger protein like 2
RNF17	>0.1	ring finger protein 17
PIM1	>0.1	Pim-1 proto-oncogene, serine/threonine kinase
TMEM171	>0.1	transmembrane protein 171
MYCBP	>0.1	MYC binding protein
NRG2	>0.1	neuregulin 2
DAGLA	>0.1	diacylglycerol lipase alpha
C1orf122	>0.1	chromosome 1 open reading frame 122
ZNF93	>0.1	zinc finger protein 93
OR10A6	>0.1	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)
SP5	>0.1	Sp5 transcription factor
TMEM154	>0.1	transmembrane protein 154
MGST3	>0.1	microsomal glutathione S-transferase 3
LINC00964	>0.1	long intergenic non-protein coding RNA 964
ZNF560	>0.1	zinc finger protein 560
CAMK1D	>0.1	calcium/calmodulin dependent protein kinase ID
SSPN	>0.1	sarcospan
DENND6B	>0.1	DENN domain containing 6B
PPP2R2D	>0.1	protein phosphatase 2 regulatory subunit Bdelta
SLC15A1	>0.1	solute carrier family 15 member 1
GULP1	>0.1	GULP PTB domain containing engulfment adaptor 1
DSCC1	>0.1	DNA replication and sister chromatid cohesion 1
GAL3ST1	>0.1	galactose-3-O-sulfotransferase 1
CSN1S1	>0.1	casein alpha s1
ATP8B1	>0.1	ATPase phospholipid transporting 8B1
DNAJA2	>0.1	DnaJ heat shock protein family (Hsp40) member A2
PRSS37	>0.1	serine protease 37
ZNF496	>0.1	zinc finger protein 496
HBQ1	>0.1	hemoglobin subunit theta 1
C6orf222	>0.1	BCL2 interacting protein 5
GET4	>0.1	guided entry of tail-anchored proteins factor 4
MAGEA12	>0.1	MAGE family member A12
ACSM1	>0.1	acyl-CoA synthetase medium chain family member 1
TOX2	>0.1	TOX high mobility group box family member 2
TBKBP1	>0.1	TBK1 binding protein 1
MRPL12	>0.1	mitochondrial ribosomal protein L12
PSMD12	>0.1	proteasome 26S subunit, non-ATPase 12
CLDN11	>0.1	claudin 11
MGC45800	>0.1	
LOC643406	>0.1	uncharacterized LOC643406(LOC643406)
ACSL1	>0.1	acyl-CoA synthetase long chain family member 1
SERPINI2	>0.1	serpin family I member 2
FAM160B1	>0.1	FHF complex subunit HOOK interacting protein 2A
CCDC54	>0.1	coiled-coil domain containing 54
MDS2	>0.1	myelodysplastic syndrome 2 translocation associated
PCSK2	>0.1	proprotein convertase subtilisin/kexin type 2
C17orf85	>0.1	nuclear cap binding subunit 3
ADAMTS7	>0.1	ADAM metallopeptidase with thrombospondin type 1 motif 7
IRAK3	>0.1	interleukin 1 receptor associated kinase 3
VTCN1	>0.1	V-set domain containing T cell activation inhibitor 1
CCNJL	>0.1	cyclin J like
PCTP	>0.1	phosphatidylcholine transfer protein
PTCD2	>0.1	pentatricopeptide repeat domain 2
MANBA	>0.1	mannosidase beta
INPPL1	>0.1	inositol polyphosphate phosphatase like 1
HSPB7	>0.1	heat shock protein family B (small) member 7
PRRG4	>0.1	proline rich and Gla domain 4
SCAND1	>0.1	SCAN domain containing 1
TMEM204	>0.1	transmembrane protein 204
UNG	>0.1	uracil DNA glycosylase
RCN3	>0.1	reticulocalbin 3
SPATA31A3	>0.1	SPATA31 subfamily A member 3
RP1	>0.1	RP1 axonemal microtubule associated
FAM53A	>0.1	family with sequence similarity 53 member A
TREH	>0.1	trehalase
NAF1	>0.1	nuclear assembly factor 1 ribonucleoprotein
UPK3A	>0.1	uroplakin 3A
CDH6	>0.1	cadherin 6
MATN1	>0.1	matrilin 1
GPRASP1	>0.1	G protein-coupled receptor associated sorting protein 1
TIMM10B	>0.1	translocase of inner mitochondrial membrane 10B
ZNF92	>0.1	zinc finger protein 92
NDRG4	>0.1	NDRG family member 4
GSK3B	>0.1	glycogen synthase kinase 3 beta
GOLGA6C	>0.1	golgin A6 family member C
ACVRL1	>0.1	activin A receptor like type 1
PRUNE2	>0.1	prune homolog 2 with BCH domain
MSMB	>0.1	microseminoprotein beta
SLC22A18	>0.1	solute carrier family 22 member 18
GLIPR1L1	>0.1	GLIPR1 like 1
TRPM5	>0.1	transient receptor potential cation channel subfamily M member 5
LINC00487	>0.1	long intergenic non-protein coding RNA 487
CCNJ	>0.1	cyclin J
FAM154B	>0.1	stabilizer of axonemal microtubules 2
RPS4Y1	>0.1	ribosomal protein S4 Y-linked 1
MRPL32	>0.1	mitochondrial ribosomal protein L32
ZNF669	>0.1	zinc finger protein 669
STARD10	>0.1	StAR related lipid transfer domain containing 10
FNBP4	>0.1	formin binding protein 4
SGSM2	>0.1	small G protein signaling modulator 2
KCNJ8	>0.1	potassium inwardly rectifying channel subfamily J member 8
C16orf62	>0.1	VPS35 endosomal protein sorting factor like
TRMT13	>0.1	tRNA methyltransferase 13 homolog
WFDC8	>0.1	WAP four-disulfide core domain 8
CLEC2D	>0.1	C-type lectin domain family 2 member D
ROM1	>0.1	retinal outer segment membrane protein 1
TRIP10	>0.1	thyroid hormone receptor interactor 10
ZNF665	>0.1	zinc finger protein 665
MRPS21	>0.1	mitochondrial ribosomal protein S21
TNFRSF11A	>0.1	TNF receptor superfamily member 11a
FNDC9	>0.1	fibronectin type III domain containing 9
DIS3L2	>0.1	DIS3 like 3'-5' exoribonuclease 2
MYO3B	>0.1	myosin IIIB
KHDC3L	>0.1	KH domain containing 3 like, subcortical maternal complex member
CDCA2	>0.1	cell division cycle associated 2
NUP93	>0.1	nucleoporin 93
CDC25B	>0.1	cell division cycle 25B
SOD1	>0.1	superoxide dismutase 1
FAM209B	>0.1	family with sequence similarity 209 member B
LAMB2	>0.1	laminin subunit beta 2
PIEZO2	>0.1	piezo type mechanosensitive ion channel component 2
PTTG3P	>0.1	pituitary tumor-transforming 3, pseudogene
AP2S1	>0.1	adaptor related protein complex 2 subunit sigma 1
TG	>0.1	thyroglobulin
TES	>0.1	testin LIM domain protein
ATP12A	>0.1	ATPase H+/K+ transporting non-gastric alpha2 subunit
BMX	>0.1	BMX non-receptor tyrosine kinase
ZNF470	>0.1	zinc finger protein 470
RSPH3	>0.1	radial spoke head 3
ST6GALNAC3	>0.1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
TBC1D10A	>0.1	TBC1 domain family member 10A
SLC25A3	>0.1	solute carrier family 25 member 3
PAGE4	>0.1	PAGE family member 4
LOC221122	>0.1	
AOC3	>0.1	amine oxidase copper containing 3
FYTTD1	>0.1	forty-two-three domain containing 1
PDE5A	>0.1	phosphodiesterase 5A
LRRC30	>0.1	leucine rich repeat containing 30
CTSO	>0.1	cathepsin O
VANGL1	>0.1	VANGL planar cell polarity protein 1
CALHM3	>0.1	calcium homeostasis modulator 3
CHRNA1	>0.1	cholinergic receptor nicotinic alpha 1 subunit
SERPINB5	>0.1	serpin family B member 5
HIST1H4C	>0.1	H4 clustered histone 3
MEF2A	>0.1	myocyte enhancer factor 2A
GNRHR2	>0.1	gonadotropin releasing hormone receptor 2 (pseudogene)
BMP2K	>0.1	BMP2 inducible kinase
LCE5A	>0.1	late cornified envelope 5A
LSR	>0.1	lipolysis stimulated lipoprotein receptor
PCDHB9	>0.1	protocadherin beta 9
THBS3	>0.1	thrombospondin 3
STIP1	>0.1	stress induced phosphoprotein 1
OR2AT4	>0.1	olfactory receptor family 2 subfamily AT member 4
MDFIC	>0.1	MyoD family inhibitor domain containing
MUC17	>0.1	mucin 17, cell surface associated
SBNO2	>0.1	strawberry notch homolog 2
NWD1	>0.1	NACHT and WD repeat domain containing 1
NPAS3	>0.1	neuronal PAS domain protein 3
MROH2A	>0.1	maestro heat like repeat family member 2A
TM2D2	>0.1	TM2 domain containing 2
SCYL2	>0.1	SCY1 like pseudokinase 2
BAG2	>0.1	BAG cochaperone 2
LOC101929154	>0.1	uncharacterized LOC101929154(LOC101929154)
PDE6A	>0.1	phosphodiesterase 6A
DDX26B	>0.1	integrator complex subunit 6 like
AMPD1	>0.1	adenosine monophosphate deaminase 1
THAP8	>0.1	THAP domain containing 8
UGDH	>0.1	UDP-glucose 6-dehydrogenase
LOC644050	>0.1	
CDKN2AIP	>0.1	CDKN2A interacting protein
POLR1B	>0.1	RNA polymerase I subunit B
AMIGO1	>0.1	adhesion molecule with Ig like domain 1
SCN3B	>0.1	sodium voltage-gated channel beta subunit 3
CSAG4	>0.1	CSAG family member 4 (pseudogene)
SLFN14	>0.1	schlafen family member 14
ABHD17A	>0.1	abhydrolase domain containing 17A, depalmitoylase
DGCR14	>0.1	ess-2 splicing factor homolog
EZH2	>0.1	enhancer of zeste 2 polycomb repressive complex 2 subunit
PART1	>0.1	prostate androgen-regulated transcript 1
SPATA5L1	>0.1	spermatogenesis associated 5 like 1
S100A5	>0.1	S100 calcium binding protein A5
LOC100130700	>0.1	
TSTD2	>0.1	thiosulfate sulfurtransferase like domain containing 2
C17orf51	>0.1	long intergenic non-protein coding RNA 2693
RAD9A	>0.1	RAD9 checkpoint clamp component A
PCDHGC5	>0.1	protocadherin gamma subfamily C, 5
H2AFJ	>0.1	H2A.J histone
GSTM1	>0.1	glutathione S-transferase mu 1
SPATA8	>0.1	spermatogenesis associated 8
A2ML1	>0.1	alpha-2-macroglobulin like 1
MAPK1	>0.1	mitogen-activated protein kinase 1
SCN5A	>0.1	sodium voltage-gated channel alpha subunit 5
SEPHS1	>0.1	selenophosphate synthetase 1
TTI1	>0.1	TELO2 interacting protein 1
HGF	>0.1	hepatocyte growth factor
TTC12	>0.1	tetratricopeptide repeat domain 12
RNF180	>0.1	ring finger protein 180
LOC643711	>0.1	
RALGPS1	>0.1	Ral GEF with PH domain and SH3 binding motif 1
ZNF3	>0.1	zinc finger protein 3
C9orf170	>0.1	long intergenic non-protein coding RNA 2872
LOC100129520	>0.1	
UBXN2A	>0.1	UBX domain protein 2A
SELP	>0.1	selectin P
ZNF286A	>0.1	zinc finger protein 286A
MAN1B1-AS1	>0.1	MAN1B1 divergent transcript
HNF1A-AS1	>0.1	HNF1A antisense RNA 1
LRRC28	>0.1	leucine rich repeat containing 28
OVOL2	>0.1	ovo like zinc finger 2
TNFAIP3	>0.1	TNF alpha induced protein 3
ICMT	>0.1	isoprenylcysteine carboxyl methyltransferase
SLAMF6	>0.1	SLAM family member 6
CES1P2	>0.1	carboxylesterase 1 pseudogene 2
APC2	>0.1	APC regulator of WNT signaling pathway 2
PFN1P2	>0.1	profilin 1 pseudogene 2
CSRP1	>0.1	cysteine and glycine rich protein 1
ZNF780B	>0.1	zinc finger protein 780B
EEF1D	>0.1	eukaryotic translation elongation factor 1 delta
HIST1H2AM	>0.1	H2A clustered histone 17
WDR78	>0.1	dynein axonemal intermediate chain 4
ENGASE	>0.1	endo-beta-N-acetylglucosaminidase
AKT3	>0.1	AKT serine/threonine kinase 3
SMAD9	>0.1	SMAD family member 9
RYR3	>0.1	ryanodine receptor 3
TYW1	>0.1	tRNA-yW synthesizing protein 1 homolog
PCDHB14	>0.1	protocadherin beta 14
OR10Z1	>0.1	olfactory receptor family 10 subfamily Z member 1
FLJ44635	>0.1	
MSRB3	>0.1	methionine sulfoxide reductase B3
SRPX	>0.1	sushi repeat containing protein X-linked
FGD4	>0.1	FYVE, RhoGEF and PH domain containing 4
CSF3	>0.1	colony stimulating factor 3
TECRL	>0.1	trans-2,3-enoyl-CoA reductase like
PABPC1L2A	>0.1	poly(A) binding protein cytoplasmic 1 like 2A
LINC00398	>0.1	long intergenic non-protein coding RNA 398
MARVELD3	>0.1	MARVEL domain containing 3
CFHR4	>0.1	complement factor H related 4
SNAPC1	>0.1	small nuclear RNA activating complex polypeptide 1
GUSBP10	>0.1	GUSB pseudogene 10
GTF3C3	>0.1	general transcription factor IIIC subunit 3
ERI2	>0.1	ERI1 exoribonuclease family member 2
IGF2BP1	>0.1	insulin like growth factor 2 mRNA binding protein 1
HAL	>0.1	histidine ammonia-lyase
DYM	>0.1	dymeclin
IMPDH2	>0.1	inosine monophosphate dehydrogenase 2
APOBEC3B	>0.1	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
CSNK1A1P1	>0.1	casein kinase 1 alpha 1 pseudogene 1
APITD1	>0.1	centromere protein S
HHIP-AS1	>0.1	HHIP antisense RNA 1
FGF12	>0.1	fibroblast growth factor 12
NUP43	>0.1	nucleoporin 43
SLC40A1	>0.1	solute carrier family 40 member 1
FRMD5	>0.1	FERM domain containing 5
COLQ	>0.1	collagen like tail subunit of asymmetric acetylcholinesterase
GPR116	>0.1	adhesion G protein-coupled receptor F5
FAM225B	>0.1	family with sequence similarity 225 member B
STMN1	>0.1	stathmin 1
TNNT1	>0.1	troponin T1, slow skeletal type
ITPKA	>0.1	inositol-trisphosphate 3-kinase A
XCL1	>0.1	X-C motif chemokine ligand 1
UQCRBP1	>0.1	ubiquinol-cytochrome c reductase binding protein pseudogene 1
ELMO3	>0.1	engulfment and cell motility 3
POLR3E	>0.1	RNA polymerase III subunit E
TMEM133	>0.1	Rho GTPase activating protein 42
ANKRD16	>0.1	ankyrin repeat domain 16
TINCR	>0.1	TINCR ubiquitin domain containing
XPOT	>0.1	exportin for tRNA
ANAPC4	>0.1	anaphase promoting complex subunit 4
MLKL	>0.1	mixed lineage kinase domain like pseudokinase
C6orf223	>0.1	long intergenic non-protein coding RNA 3040
GCAT	>0.1	glycine C-acetyltransferase
PTPN20B	>0.1	protein tyrosine phosphatase non-receptor type 20
CENPJ	>0.1	centromere protein J
IQCH	>0.1	IQ motif containing H
PIK3CG	>0.1	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
SOAT1	>0.1	sterol O-acyltransferase 1
SERPINC1	>0.1	serpin family C member 1
B4GALT6	>0.1	beta-1,4-galactosyltransferase 6
KCTD21	>0.1	potassium channel tetramerization domain containing 21
LINC00899	>0.1	long intergenic non-protein coding RNA 899
TMED5	>0.1	transmembrane p24 trafficking protein 5
IGFBP1	>0.1	insulin like growth factor binding protein 1
MAB21L3	>0.1	mab-21 like 3
DSE	>0.1	dermatan sulfate epimerase
PTCHD3	>0.1	patched domain containing 3 (gene/pseudogene)
HM13	>0.1	histocompatibility minor 13
LOC400043	>0.1	long intergenic non-protein coding RNA 2381
TACSTD2	>0.1	tumor associated calcium signal transducer 2
C11orf21	>0.1	chromosome 11 open reading frame 21
MAGEB16	>0.1	MAGE family member B16
HMOX1	>0.1	heme oxygenase 1
RAPGEF5	>0.1	Rap guanine nucleotide exchange factor 5
LINC00641	>0.1	long intergenic non-protein coding RNA 641
FLYWCH1	>0.1	FLYWCH-type zinc finger 1
HCFC2	>0.1	host cell factor C2
TRPC5OS	>0.1	TRPC5 opposite strand
LOC729970	>0.1	
LINC01158	>0.1	POU3F3 adjacent non-coding transcript 1
DARS2	>0.1	aspartyl-tRNA synthetase 2, mitochondrial
PDDC1	>0.1	glutamine amidotransferase class 1 domain containing 1
OR8G1	>0.1	olfactory receptor family 8 subfamily G member 1
SCG2	>0.1	secretogranin II
GSTA5	>0.1	glutathione S-transferase alpha 5
LINC01128	>0.1	long intergenic non-protein coding RNA 1128
DMBT1	>0.1	deleted in malignant brain tumors 1
OSTF1	>0.1	osteoclast stimulating factor 1
BEGAIN	>0.1	brain enriched guanylate kinase associated
SERPINF2	>0.1	serpin family F member 2
DDX17	>0.1	DEAD-box helicase 17
INHBB	>0.1	inhibin subunit beta B
SOX8	>0.1	SRY-box transcription factor 8
SLC35A3	>0.1	solute carrier family 35 member A3
IRAK1BP1	>0.1	interleukin 1 receptor associated kinase 1 binding protein 1
OR13C9	>0.1	olfactory receptor family 13 subfamily C member 9
HSD11B2	>0.1	hydroxysteroid 11-beta dehydrogenase 2
TCEA1	>0.1	transcription elongation factor A1
TBL1X	>0.1	transducin beta like 1 X-linked
MAT1A	>0.1	methionine adenosyltransferase 1A
PPP2R5A	>0.1	protein phosphatase 2 regulatory subunit B'alpha
FAM66D	>0.1	family with sequence similarity 66 member D
MINOS1P1	>0.1	MICOS10 pseudogene 1
FBRSL1	>0.1	fibrosin like 1
SNHG5	>0.1	small nucleolar RNA host gene 5
ACTG2	>0.1	actin gamma 2, smooth muscle
ZNF34	>0.1	zinc finger protein 34
ADRA2A	>0.1	adrenoceptor alpha 2A
MOGAT3	>0.1	monoacylglycerol O-acyltransferase 3
USP38	>0.1	ubiquitin specific peptidase 38
ID1	>0.1	inhibitor of DNA binding 1, HLH protein
PLAC4	>0.1	placenta enriched 4
HDGFL1	>0.1	HDGF like 1
DCST2	>0.1	DC-STAMP domain containing 2
LOC100506639	>0.1	uncharacterized LOC100506639(LOC100506639)
BCAS3	>0.1	BCAS3 microtubule associated cell migration factor
SKINTL	>0.1	Skint1 like (pseudogene)
SLC6A18	>0.1	solute carrier family 6 member 18
LOC644189	>0.1	acyl-CoA thioesterase 4 pseudogene(LOC644189)
C16orf54	>0.1	chromosome 16 open reading frame 54
CHFR	>0.1	checkpoint with forkhead and ring finger domains
LRRN1	>0.1	leucine rich repeat neuronal 1
CLUL1	>0.1	clusterin like 1
CCT8L2	>0.1	chaperonin containing TCP1 subunit 8 like 2
CPO	>0.1	carboxypeptidase O
POLR2A	>0.1	RNA polymerase II subunit A
EIF2AK3	>0.1	eukaryotic translation initiation factor 2 alpha kinase 3
PPP1R15B	>0.1	protein phosphatase 1 regulatory subunit 15B
SLC25A47	>0.1	solute carrier family 25 member 47
SCARNA22	>0.1	small Cajal body-specific RNA 22
SLC6A19	>0.1	solute carrier family 6 member 19
FAM120B	>0.1	family with sequence similarity 120B
IL11	>0.1	interleukin 11
IGDCC3	>0.1	immunoglobulin superfamily DCC subclass member 3
AMTN	>0.1	amelotin
PRODH2	>0.1	proline dehydrogenase 2
SH2D3A	>0.1	SH2 domain containing 3A
SMIM6	>0.1	small integral membrane protein 6
SGK223	>0.1	PEAK1 related, kinase-activating pseudokinase 1
FLOT1	>0.1	flotillin 1
DNAJC17	>0.1	DnaJ heat shock protein family (Hsp40) member C17
DISP2	>0.1	dispatched RND transporter family member 2
NYNRIN	>0.1	NYN domain and retroviral integrase containing
CBLL1	>0.1	Cbl proto-oncogene like 1
LUM	>0.1	lumican
C11orf97	>0.1	chromosome 11 open reading frame 97
AATK-AS1	>0.1	parvalbumin like EF-hand containing
SIGIRR	>0.1	single Ig and TIR domain containing
TPSAB1	>0.1	tryptase alpha/beta 1
TARBP2	>0.1	TARBP2 subunit of RISC loading complex
SAMD1	>0.1	sterile alpha motif domain containing 1
SMC4	>0.1	structural maintenance of chromosomes 4
DCLRE1C	>0.1	DNA cross-link repair 1C
OCLN	>0.1	occludin
M6PR	>0.1	mannose-6-phosphate receptor, cation dependent
RENBP	>0.1	renin binding protein
TNRC6A	>0.1	trinucleotide repeat containing adaptor 6A
IGF2BP3	>0.1	insulin like growth factor 2 mRNA binding protein 3
IGFL2	>0.1	IGF like family member 2
UNC119	>0.1	unc-119 lipid binding chaperone
GPRC5D	>0.1	G protein-coupled receptor class C group 5 member D
LOC389641	>0.1	TNFRSF10A divergent transcript
COX15	>0.1	cytochrome c oxidase assembly homolog COX15
KHDRBS2	>0.1	KH RNA binding domain containing, signal transduction associated 2
KCTD10	>0.1	potassium channel tetramerization domain containing 10
CLDN12	>0.1	claudin 12
NLRC3	>0.1	NLR family CARD domain containing 3
MAST1	>0.1	microtubule associated serine/threonine kinase 1
RAD51AP1	>0.1	RAD51 associated protein 1
CDC42BPA	>0.1	CDC42 binding protein kinase alpha
ELAVL4	>0.1	ELAV like RNA binding protein 4
OR1F2P	>0.1	olfactory receptor family 1 subfamily F member 2 pseudogene
ZNF257	>0.1	zinc finger protein 257
C21orf91	>0.1	chromosome 21 open reading frame 91
LOC100128573	>0.1	
GBA	>0.1	glucosylceramidase beta
MAMLD1	>0.1	mastermind like domain containing 1
IGLL5	>0.1	immunoglobulin lambda like polypeptide 5
LILRP2	>0.1	leukocyte immunoglobulin-like receptor pseudogene 2
MYEOV2	>0.1	COP9 signalosome subunit 9
